Scenario,ChangedParameter,ChangedValue,CSVFile,BatchIndex,Time,Order,Origin,Destination,Demand,ServedFlow,UnservedFlow,ServiceRate,ModelStatus
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,6,421,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,7,421,436,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,8,422,360,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,9,440,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,10,441,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,11,443,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,12,463,368,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,13,463,400,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,14,465,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,15,466,438,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,16,467,264,4,4.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,17,467,382,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,18,467,460,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,19,485,264,1,1.0,0.0,1.0,OPTIMAL
VOT_30p0,VOT,30.0,candidate_vertiports_SF_k9.csv,1,T6,20,504,264,1,1.0,0.0,1.0,OPTIMAL
